17501          Moses          Daniels        16             1              0977865432     
17502          Clement        Malama         15             1              0966543426     
17503          Eldridge       Jempa          12             1              0955432675     
17504          Clivet         Lungu          13             1              0976543423     
17505          Longman        Zulu           14             1              0975432675     
16501          Aaron          Kasaka         15             2              0965437865     
16502          Sonny          Makasa         16             2              0955647865     
16503          Zarous         Zebron         17             2              0978654323     
16504          Sara           Sihembe        12             2              0967543232     
16505          Elizabeth      Chungu         14             2              0956786543     
